transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes,user_transaction_frequency,user_total_spending,user_avg_transaction,user_expense_ratio,year,month,day_of_week,is_weekend,amount_category
T02596,U050,2021-03-03,Income,Other Income,58874.0,Card,Bengaluru,Salary,77,604372.0,7848.987012987013,0.8961038961038961,2021.0,3.0,2.0,0,Extreme
T05569,U049,2021-09-24,Expense,Food,258.0,Bank Transfer,Lucknow,Dinner at resto,85,1849556.0,21759.482352941177,0.8352941176470589,2021.0,9.0,4.0,0,Medium
T10777,U044,2022-07-02,Expense,Travel,336.0,UPI,Kolkata,Uber to office,89,838174.0,9417.685393258427,0.8651685393258427,2022.0,7.0,5.0,1,Medium
T11684,U114,2022-01-20,Expense,Food,383.0,Bank Transfer,Hyderabad,Grocery shopping,91,774665.0,8512.802197802197,0.8681318681318682,2022.0,1.0,3.0,0,Medium
T14503,U119,2022-03-08,Expense,Savings,93.0,Card,Ahmedabad,,82,1763193.0,21502.353658536584,0.8536585365853658,2022.0,3.0,1.0,0,Small
T11737,U059,2021-04-16,Expense,Food,82.0,Cash,Lucknow,,83,1297225.0,15629.216867469879,0.9518072289156626,2021.0,4.0,4.0,0,Small
T08540,U095,2021-06-26,Expense,Food,1761.0,Cash,Hyderabad,wkAdxBaz8rnYSOE,71,423895.0,5970.352112676056,0.9154929577464789,2021.0,6.0,5.0,1,Very Large
T11492,U149,2020-12-28,Expense,Rent,1580.0,UPI,Lucknow,Uber to office,96,1068688.0,11132.166666666666,0.8229166666666666,2020.0,12.0,0.0,0,Very Large
T10632,U157,2021-11-19,Expense,Reent,856.0,UPI,Mumbai,Paid electricity bill ,67,996520.0,14873.432835820895,0.7761194029850746,2021.0,11.0,4.0,0,Large
T02786,U150,2019-10-22,Expense,Rent,46.0,Cash,Hyderabad,,84,1827844.0,21760.04761904762,0.8452380952380952,2019.0,10.0,1.0,0,Small
T14674,U158,2022-04-17,Income,Bonus,35621.0,Card,Pune,Uber to office,69,706578.0,10240.260869565218,0.8260869565217391,2022.0,4.0,6.0,1,Extreme
T06474,U136,2019-04-24,Expense,Rent,490.0,Bank Transfer,Mumbai,Doctor visit,64,1732686.0,27073.21875,0.828125,2019.0,4.0,2.0,0,Medium
T05913,U070,2020-07-13,Expense,Food,1096.0,UPI,,Uber to office,75,1703804.0,22717.386666666665,0.8666666666666667,2020.0,7.0,0.0,0,Very Large
T02520,U088,2021-01-01,Expense,Health,193.0,Bank Transfer,Ahmedabad,Netflix subscription,84,1048301.0,12479.77380952381,0.7976190476190477,2021.0,1.0,4.0,0,Medium
T02736,U040,2020-08-05,Expense,Entertainment,187.0,Bank Transfer,Bengaluru,Doctor visit cash,80,890634.0,11132.925,0.825,2020.0,8.0,2.0,0,Medium
T00990,U014,2022-10-16,Expense,Others,2506.0,Bank Transfer,Ahmedabad,Doctor visit cash,91,488139.0,5364.1648351648355,0.9120879120879121,2022.0,10.0,6.0,1,Very Large
T08692,U116,2020-04-05,Income,Salary,56751.0,UPI,Bengaluru,Paid electricity bill,75,804374.0,10724.986666666666,0.8266666666666667,2020.0,4.0,6.0,1,Extreme
T07857,U002,2019-07-08,Income,Other Income,63433.0,Bank Transfer,Ahmedabad,Paid electricity bill cash,88,2242735.0,25485.625,0.7727272727272727,2019.0,7.0,0.0,0,Extreme
T08139,U079,2022-12-18,Income,Bonus,55318.0,Cash,Bengaluru,Monthly rent cash,82,706444.0,8615.170731707318,0.8536585365853658,2022.0,12.0,6.0,1,Extreme
T02021,U035,2022-04-29,Expense,Others,206.0,UPI,Kolkata,Uber to office,92,695941.0,7564.576086956522,0.8804347826086957,2022.0,4.0,4.0,0,Medium
T08463,U179,2022-10-28,Expense,Utilities,215.0,Cash,Bengaluru,Uber to office ,87,945163.0,10863.942528735632,0.8390804597701149,2022.0,10.0,4.0,0,Medium
T09732,U071,2019-02-16,Expense,Travel,2871.0,Card,mumbai,Monthly rent via app,80,724117.0,9051.4625,0.8625,2019.0,2.0,5.0,1,Very Large
T08387,U009,2020-07-15,Expense,Utilities,272.0,UPI,Pune,VDSr4SI1JVHg,86,650503.0,7563.988372093023,0.8837209302325582,2020.0,7.0,2.0,0,Medium
T04370,U119,2021-03-31,Expense,Food,5387.0,Bank Transfer,Pune,A7Brvt0bSrovLXo,82,1763193.0,21502.353658536584,0.8536585365853658,2021.0,3.0,2.0,0,Extreme
T03937,U104,2022-06-18,Income,Other Income,53334.0,Cash,Ahmedabad,Grocery shopping ,71,802359.0,11300.830985915492,0.8450704225352113,2022.0,6.0,5.0,1,Extreme
T12024,U066,2022-03-01,Expense,Travel,239.0,Bank Transfer,Pune,Paid electricity bill,74,391570.0,5291.486486486487,0.918918918918919,2022.0,3.0,1.0,0,Medium
T14443,U025,2020-02-13,Expense,Rent,129.0,UPI,Lucknow,,82,1797717.0,21923.378048780487,0.8536585365853658,2020.0,2.0,3.0,0,Medium
T05759,U088,2019-12-28,Expense,Entertainment,123.0,Bank Transfer,Chennai,Dinner at resto cash,84,1048301.0,12479.77380952381,0.7976190476190477,2019.0,12.0,5.0,1,Medium
T00315,U142,2019-01-09,Expense,Food,143.0,Cash,Chennai,,78,1162944.0,14909.538461538461,0.7564102564102564,2019.0,1.0,2.0,0,Medium
T05202,U088,2019-04-18,Expense,Food,125.0,Cash,Jaipur,Monthly rent,84,1048301.0,12479.77380952381,0.7976190476190477,2019.0,4.0,3.0,0,Medium
T11066,U031,2020-12-13,Expense,,367.0,Bank Transfer,Kolkata,NLS1gMaaOza0C0cf,88,763011.0,8670.579545454546,0.875,2020.0,12.0,6.0,1,Medium
T01016,U041,2019-01-12,Expense,Others,517.0,Cash,Kolkata,Doctor visit,79,1892404.0,23954.481012658227,0.8354430379746836,2019.0,1.0,5.0,1,Large
T06997,U075,2019-02-10,Expense,Food,3186.0,Bank Transfer,Chennai,Grocery shopping,83,816013.0,9831.481927710844,0.8313253012048193,2019.0,2.0,6.0,1,Very Large
T02973,U129,,Expense,Food,141.0,Bank Transfer,Bengaluru,Paid electricity bill,81,537492.0,6635.7037037037035,0.8888888888888888,,,,0,Medium
T03039,U141,2019-10-24,Expense,Travel,266.0,Bank Transfer,Lucknow,Doctor visit,100,1907915.0,19079.15,0.84,2019.0,10.0,3.0,0,Medium
T14348,U166,2021-02-12,Expense,Food,996.0,UPI,Bengaluru,Paid electricity bill late,98,1747558.0,17832.224489795917,0.7244897959183674,2021.0,2.0,4.0,0,Large
T11938,U090,2021-10-09,Expense,Others,1901.0,Unknown,Chennai,,101,1018641.0,10085.554455445545,0.8316831683168316,2021.0,10.0,5.0,1,Very Large
T07615,U038,2019-05-10,Expense,Rent,186.0,UPI,Ahmedabad,Monthly rent,84,670888.0,7986.761904761905,0.8809523809523809,2019.0,5.0,4.0,0,Medium
T06608,U163,2019-03-06,Expense,Rent,216.0,Card,mumbai,zQQvRHrCGH,80,1868712.0,23358.9,0.825,2019.0,3.0,2.0,0,Medium
T07654,U175,2020-02-11,Expense,Others,196.0,Bank Transfer,Hyderabad,Course fee cash,91,927811.0,10195.725274725275,0.8681318681318682,2020.0,2.0,1.0,0,Medium
T01611,U019,2020-08-23,Expense,Rent,1015.0,UPI,Ahmedabad,Salary cash,72,709321.0,9851.680555555555,0.8472222222222222,2020.0,8.0,6.0,1,Very Large
T01335,U113,2019-07-17,Income,Bonus,46491.0,UPI,Delhi,Gift,82,654953.0,7987.231707317073,0.8658536585365854,2019.0,7.0,2.0,0,Extreme
T07445,U075,2022-06-16,Expense,ood,4048.0,Bank Transfer,,Monthly rent,83,816013.0,9831.481927710844,0.8313253012048193,2022.0,6.0,3.0,0,Very Large
T10705,U035,2022-05-24,Income,Other Income,32770.0,Bank Transfer,Pune,Dinner at resto,92,695941.0,7564.576086956522,0.8804347826086957,2022.0,5.0,1.0,0,Extreme
T11761,U093,2019-11-10,Expense,Entertainment,2951.0,Cash,Pune,Uber to office,81,867740.0,10712.839506172839,0.8271604938271605,2019.0,11.0,6.0,1,Very Large
T11949,U127,2022-02-14,Expense,Food,56.0,Bank Transfer,Bengaluru,Grocery shopping,87,987383.0,11349.229885057472,0.8160919540229885,2022.0,2.0,0.0,0,Small
T00222,U014,2022-07-04,Expense,Traavel,745.0,Cash,Delhi,Uber to office via app,91,488139.0,5364.1648351648355,0.9120879120879121,2022.0,7.0,0.0,0,Large
T08940,U062,2021-02-01,Income,Salary,52826.0,Card,Mumbai,Paid electricity bill ,89,864742.0,9716.202247191011,0.8539325842696629,2021.0,2.0,0.0,0,Extreme
T03286,U119,2020-03-27,Expense,Savings,408.0,Card,Chennai,Paid electricity bill cash,82,1763193.0,21502.353658536584,0.8536585365853658,2020.0,3.0,4.0,0,Medium
T13097,U067,2019-09-27,Expense,Rent,1237.0,Card,Mumbai,Gift cash,72,747224.0,10378.111111111111,0.8472222222222222,2019.0,9.0,4.0,0,Very Large
T01970,U044,2022-10-04,Expense,Rent,1530.0,Card,Hyderabad,Netflix subscription,89,838174.0,9417.685393258427,0.8651685393258427,2022.0,10.0,1.0,0,Very Large
T01399,U076,2019-01-06,Expense,Travel,200.0,UPI,Delhi,Grocery shopping late,86,827533.0,9622.476744186046,0.8488372093023255,2019.0,1.0,6.0,1,Medium
T08098,U049,2019-06-29,Expense,Travel,183.0,Cash,Ahmedabad,Salary,85,1849556.0,21759.482352941177,0.8352941176470589,2019.0,6.0,5.0,1,Medium
T02085,U176,2022-03-14,Expense,Food,333.0,Bank Transfer,bengaluru,Doctor visit ,84,2161513.0,25732.29761904762,0.7976190476190477,2022.0,3.0,0.0,0,Medium
T01842,U161,2021-10-13,Expense,Food,1275.0,Card,Kolkata,Gift ,83,1074757.0,12948.87951807229,0.8192771084337349,2021.0,10.0,2.0,0,Very Large
T11562,U140,2020-04-06,Expense,Entertainment,1769.0,Cash,jaipur,Paid electricity bill ,76,770423.0,10137.144736842105,0.8552631578947368,2020.0,4.0,0.0,0,Very Large
T07877,U032,2022-07-21,Expense,Travel,100.0,Bank Transfer,Jaipur,cJ9BkudD4Tf3Ql,63,2346976.0,37253.5873015873,0.9206349206349206,2022.0,7.0,3.0,0,Small
T03340,U107,2020-12-27,Expense,Rent,814.0,Card,delhi,Gift,76,1663482.0,21887.92105263158,0.868421052631579,2020.0,12.0,6.0,1,Large
T14028,U175,2021-07-04,Expense,Utilities,208.0,Cash,Mumbai,Salary via app,91,927811.0,10195.725274725275,0.8681318681318682,2021.0,7.0,6.0,1,Medium
T03872,U051,2021-12-22,Expense,Education,113.0,UPI,Bengaluru,Grocery shopping,65,964203.0,14833.892307692307,0.7384615384615385,2021.0,12.0,2.0,0,Medium
T03916,U086,2020-12-24,Expense,Rent,44.0,Cash,Kolkata,Gift,92,773273.0,8405.141304347826,0.8695652173913043,2020.0,12.0,3.0,0,Small
T14446,U136,2022-03-24,Expense,Rent,219.0,Card,Mumbai,Course fee,64,1732686.0,27073.21875,0.828125,2022.0,3.0,3.0,0,Medium
T09919,U177,2019-07-01,Income,Salary,52861.0,UPI,Kolkata,Course fee,89,738071.0,8292.932584269663,0.8764044943820225,2019.0,7.0,0.0,0,Extreme
T02778,U103,2020-09-20,Expense,Food,33.0,Ccash,Jaipur,Monthly rent,89,980664.0,11018.696629213484,0.8314606741573034,2020.0,9.0,6.0,1,Small
T03163,U022,2020-04-10,Expense,Entertainment,418.0,Bank Transfer,Ahmedabad,Paid electricity bill,70,828855.0,11840.785714285714,0.7857142857142857,2020.0,4.0,4.0,0,Medium
T02942,U003,2021-10-30,Expense,Savings,184.0,UPI,Pune,sboT5a6RW,84,1097724.0,13068.142857142857,0.7976190476190477,2021.0,10.0,5.0,1,Medium
T04791,U112,2020-08-03,Income,Other Income,68894.0,Bank Transfer,Hyderabad,Salary ,81,1724906.0,21295.135802469136,0.8518518518518519,2020.0,8.0,0.0,0,Extreme
T02335,U052,2019-04-22,Expense,Savings,2849.0,UPI,,Uber to office,61,475036.0,7787.475409836065,0.8688524590163934,2019.0,4.0,0.0,0,Very Large
T09490,U109,2022-05-28,Expense,Food,55.0,Cash,Hyderabad,Uber to office,70,815514.0,11650.2,0.8285714285714286,2022.0,5.0,5.0,1,Small
T07421,U093,2021-02-18,Expense,Others,373.0,Cash,Jaipur,Netflix subscription via app,81,867740.0,10712.839506172839,0.8271604938271605,2021.0,2.0,3.0,0,Medium
T06200,U001,2020-08-24,Expense,Rent,201.0,Bank Transfer,Pune,,90,1350099.0,15001.1,0.7555555555555555,2020.0,8.0,0.0,0,Medium
T04759,U144,2022-09-10,Expense,Savings,8360.0,Bank Transfer,Lucknow,Dinner at resto via app,79,2250009.0,28481.12658227848,0.759493670886076,2022.0,9.0,5.0,1,Extreme
T11740,U083,2021-05-20,Expense,Food,1766.0,Cash,Chennai,Grocery shopping,90,779020.0,8655.777777777777,0.8555555555555555,2021.0,5.0,3.0,0,Very Large
T08870,U077,2021-07-20,Expense,Tavel,411.0,Bank Transfer,Ahmedabad,Paid electricity bill late,76,800527.0,10533.25,0.8289473684210527,2021.0,7.0,1.0,0,Medium
T14621,U063,2020-02-22,Expense,Rent,20.0,Card,Mumbai,kU9tfLsTrc,77,510029.0,6623.7532467532465,0.9090909090909091,2020.0,2.0,5.0,1,Small
T14576,U106,2019-10-28,Expense,Rent,78.0,Card,Ahmedabad,Netflix subscription,93,799374.0,8595.41935483871,0.8602150537634409,2019.0,10.0,0.0,0,Small
T09583,U118,2019-12-11,Expense,Rent,720.0,Cash,Bengaluru,Grocery shopping,88,829814.0,9429.704545454546,0.8522727272727273,2019.0,12.0,2.0,0,Large
T12697,U165,2021-09-09,Expense,OOthers,1067.0,UPI,Hyderabad,Netflix subscription cash,95,1936441.0,20383.58947368421,0.8526315789473684,2021.0,9.0,3.0,0,Very Large
T00428,U041,2020-06-29,Expense,Food,693.0,Bank Transfer,Hyderabad,Doctor visit,79,1892404.0,23954.481012658227,0.8354430379746836,2020.0,6.0,0.0,0,Large
T13693,U161,2021-02-15,Expense,Travel,641.0,Card,Delhi,Paid electricity bill,83,1074757.0,12948.87951807229,0.8192771084337349,2021.0,2.0,0.0,0,Large
T03728,U066,2022-07-06,Expense,Utilites,389.0,UPI,Bengaluru,,74,391570.0,5291.486486486487,0.918918918918919,2022.0,7.0,2.0,0,Medium
T08570,U087,2020-09-03,Expense,Food,556.0,Card,Lucknow,Salary cash,84,517861.0,6165.011904761905,0.9047619047619048,2020.0,9.0,3.0,0,Large
T14413,U181,2022-10-05,Income,Salary,60559.0,UPI,Jaipur,Grocery shopping late,89,955284.0,10733.52808988764,0.8314606741573034,2022.0,10.0,2.0,0,Extreme
T00734,U019,2021-10-04,Expense,Health,57.0,Bank Transfer,Mumbai,Doctor visit,72,709321.0,9851.680555555555,0.8472222222222222,2021.0,10.0,0.0,0,Small
T03776,U048,2020-05-09,Expense,Food,641.0,Card,Bengaluru,CoBzaIzlT,83,422977.0,5096.108433734939,0.927710843373494,2020.0,5.0,5.0,1,Large
T02361,U087,2022-06-24,Expense,Travel,564.0,UPI,Delhi,Doctor visit late,84,517861.0,6165.011904761905,0.9047619047619048,2022.0,6.0,4.0,0,Large
T11868,U053,2019-04-29,Expense,Rent,1229.0,Cash,pune,Grocery shopping ,87,1164343.0,13383.252873563219,0.7931034482758621,2019.0,4.0,0.0,0,Very Large
T13423,U102,2021-06-12,Expense,,435.0,Cash,Hyderabad,Gift,90,784530.0,8717.0,0.8666666666666667,2021.0,6.0,5.0,1,Medium
T08941,U071,2019-08-02,Expense,Food,189.0,UPI,Ahmedabad,Netflix subscription,80,724117.0,9051.4625,0.8625,2019.0,8.0,4.0,0,Medium
T12761,U005,2021-01-31,Expense,Entertainment,37.0,Bank Transfer,JAIPUR,Gift,79,761948.0,9644.911392405063,0.8607594936708861,2021.0,1.0,6.0,1,Small
T00663,U169,2020-11-16,Expense,Travel,175.0,Card,Delhi,Salary,78,1473121.0,18886.166666666668,0.9230769230769231,2020.0,11.0,0.0,0,Medium
T05581,U170,2021-11-11,Expense,Food,2183.0,UPI,Hyderabad,Salary cash,73,841602.0,11528.794520547945,0.821917808219178,2021.0,11.0,3.0,0,Very Large
T04057,U147,2021-05-29,Expense,eRnt,705.0,Cash,Bengaluru,Salary,83,590604.0,7115.710843373494,0.8795180722891566,2021.0,5.0,5.0,1,Large
T06229,U175,2019-07-01,Expense,Trave,404.0,Bank Transfer,Pune,Course fee,91,927811.0,10195.725274725275,0.8681318681318682,2019.0,7.0,0.0,0,Medium
T13394,U134,2019-04-02,Income,Bonus,45883.0,Card,Mumbai,Course fee cash,78,691844.0,8869.794871794871,0.8589743589743589,2019.0,4.0,1.0,0,Extreme
T04446,U111,2022-05-26,Expense,Food,40.0,Cash,Pune,Monthly rent cash,77,1709254.0,22198.103896103898,0.8441558441558441,2022.0,5.0,3.0,0,Small
T11310,U028,2021-08-29,Income,Salary,69360.0,Bank Transfer,Mumbai,Gift cash,80,594071.0,7425.8875,0.8875,2021.0,8.0,6.0,1,Extreme
T11529,U033,2021-03-01,Expense,Food,227.0,Cash,Bengaluru,Netflix subscription late,86,1653293.0,19224.337209302324,0.8953488372093024,2021.0,3.0,0.0,0,Medium
T13813,U143,2021-12-09,Expense,Food,757.0,UPI,Kolkata,16wmjUjz,90,876727.0,9741.41111111111,0.8555555555555555,2021.0,12.0,3.0,0,Large
T00554,U005,2019-01-23,Expense,Food,81.0,Card,Ahmedabad,Netflix subscription,79,761948.0,9644.911392405063,0.8607594936708861,2019.0,1.0,2.0,0,Small
T14182,U082,2021-06-11,Expense,Food,196.0,Bank Transfer,Jaipur,Monthly rent,85,1779994.0,20941.105882352942,0.8470588235294118,2021.0,6.0,4.0,0,Medium
T05044,U160,2021-06-25,Income,Bonus,53159.0,Cash,Lucknow,,85,1668734.0,19632.164705882355,0.8705882352941177,2021.0,6.0,4.0,0,Extreme
T05971,U148,2021-05-28,Expense,Travel,86.0,UPI,Lucknow,Monthly rent,72,775852.0,10775.722222222223,0.8472222222222222,2021.0,5.0,4.0,0,Small
T10626,U049,2021-04-21,Expense,Rent,641.0,Cash,bengaluru,Salary,85,1849556.0,21759.482352941177,0.8352941176470589,2021.0,4.0,2.0,0,Large
T05376,U053,2019-10-14,Expense,Rent,143.0,Bank Transfer,Kolkata,Netflix subscription via app,87,1164343.0,13383.252873563219,0.7931034482758621,2019.0,10.0,0.0,0,Medium
T03003,U095,2020-04-21,Expense,Savingss,2035.0,Card,Chennai,Salary,71,423895.0,5970.352112676056,0.9154929577464789,2020.0,4.0,1.0,0,Very Large
T06854,U074,2021-03-18,Expense,Rent,51.0,Cash,Pune,zldFyXXwJ,93,844962.0,9085.612903225807,0.8709677419354839,2021.0,3.0,3.0,0,Small
T01355,U095,2019-10-15,Expense,Rent,1766.0,Cash,Delhi,,71,423895.0,5970.352112676056,0.9154929577464789,2019.0,10.0,1.0,0,Very Large
T00101,U177,2021-06-13,Expense,Food,575.0,Bank Transfer,Jaipur,Netflix subscription,89,738071.0,8292.932584269663,0.8764044943820225,2021.0,6.0,6.0,1,Large
T11581,U112,2022-08-17,Expense,Rent,123.0,Card,,Netflix subscription cash,81,1724906.0,21295.135802469136,0.8518518518518519,2022.0,8.0,2.0,0,Medium
T07843,U067,2021-01-16,Expense,Health,195.0,Bank Transfer,Hyderabad,Salary,72,747224.0,10378.111111111111,0.8472222222222222,2021.0,1.0,5.0,1,Medium
T07405,U080,2020-01-17,Expense,Food,587.0,Card,Bengaluru,LDRxleWusbe7ZvYa,95,704475.0,7415.526315789473,0.8947368421052632,2020.0,1.0,4.0,0,Large
T06736,U061,2020-10-14,Expense,Rent,555.0,UPI,,Dinner at resto,88,711061.0,8080.238636363636,0.8636363636363636,2020.0,10.0,2.0,0,Large
T07517,U005,2020-05-11,Expense,Rent,61.0,UPI,Hyderabad,Doctor visit,79,761948.0,9644.911392405063,0.8607594936708861,2020.0,5.0,0.0,0,Small
T06119,U147,2019-06-28,Expense,Utilities,824.0,Cash,Pune,Dinner at resto,83,590604.0,7115.710843373494,0.8795180722891566,2019.0,6.0,4.0,0,Large
T00904,U189,2019-03-06,Expense,Savings,443.0,Bank Transfer,Delhi,Dinner at resto cash,90,967555.0,10750.611111111111,0.8444444444444444,2019.0,3.0,2.0,0,Medium
T08456,U076,2022-10-04,Expense,Food,225.0,Cash,Chennai,Paid electricity bill,86,827533.0,9622.476744186046,0.8488372093023255,2022.0,10.0,1.0,0,Medium
T14290,U066,2020-12-07,Income,Bonus,63456.0,UPI,Bengaluru,,74,391570.0,5291.486486486487,0.918918918918919,2020.0,12.0,0.0,0,Extreme
T13075,U077,2020-04-30,Expense,Rent,326.0,Card,Ahmedabad,Dinner at resto ,76,800527.0,10533.25,0.8289473684210527,2020.0,4.0,3.0,0,Medium
T03061,U087,,Expense,Rent,1881.0,Card,Lucknow,Course fee,84,517861.0,6165.011904761905,0.9047619047619048,,,,0,Very Large
T11432,U159,2022-07-09,Expense,Trave,111.0,Bank Transfer,Delhi,1yv2UgqhuT,93,1035404.0,11133.376344086022,0.8172043010752689,2022.0,7.0,5.0,1,Medium
T04560,U020,2022-01-24,Expense,Travel,5172.0,Bank Transfer,Mumbai,Course fee,101,1108349.0,10973.752475247526,0.8316831683168316,2022.0,1.0,0.0,0,Extreme
T02114,U189,2021-06-20,Expense,Travel,1703.0,Cash,Lucknow,Doctor visit via app,90,967555.0,10750.611111111111,0.8444444444444444,2021.0,6.0,6.0,1,Very Large
T12679,U181,2021-11-03,Income,Other Income,58619.0,UPI,Mumbai,,89,955284.0,10733.52808988764,0.8314606741573034,2021.0,11.0,2.0,0,Extreme
T14712,U016,2021-08-04,Expense,Savings,1711.0,Card,Pune,Uber to office via app,86,606484.0,7052.139534883721,0.872093023255814,2021.0,8.0,2.0,0,Very Large
T06760,U051,2019-11-23,Income,Other Income,45038.0,Bank Transfer,Ahmedabad,Doctor visit,65,964203.0,14833.892307692307,0.7384615384615385,2019.0,11.0,5.0,1,Extreme
T10248,U108,2019-06-26,Expense,Entertainment,1050.0,Cash,Hyderabad,Uber to office,82,1135546.0,13848.121951219513,0.7926829268292683,2019.0,6.0,2.0,0,Very Large
T13425,U023,2019-03-13,Expense,Travel,617.0,Cash,Ahmedabad,Course fee ,77,565527.0,7344.506493506494,0.8831168831168831,2019.0,3.0,2.0,0,Large
T05533,U026,2021-06-24,Expense,Travel,45.0,Cash,Delhi,,74,644984.0,8716.0,0.8648648648648649,2021.0,6.0,3.0,0,Small
T07945,U058,2022-12-20,Expense,Rent,104.0,Cash,hyderabad,Uber to office,75,755303.0,10070.706666666667,0.84,2022.0,12.0,1.0,0,Medium
T13942,U013,2021-05-14,Expense,Food,2421.0,Card,JAIPUR,,77,846988.0,10999.844155844155,0.8181818181818182,2021.0,5.0,4.0,0,Very Large
T14822,U185,2020-09-01,Income,Other Income,69193.0,Cash,Delhi,Dinner at resto ,79,953991.0,12075.835443037975,0.8227848101265823,2020.0,9.0,1.0,0,Extreme
T06956,U074,,Expense,Education,143.0,Bank Transfer,Bengaluru,,93,844962.0,9085.612903225807,0.8709677419354839,,,,0,Medium
T11139,U088,2021-03-17,Expense,Rent,959.0,Bank Transfer,,Salary,84,1048301.0,12479.77380952381,0.7976190476190477,2021.0,3.0,2.0,0,Large
T11916,U163,2019-12-03,Income,Salary,41560.0,Cash,Lucknow,Doctor visit late,80,1868712.0,23358.9,0.825,2019.0,12.0,1.0,0,Extreme
T08529,U168,2019-05-29,Expense,eRnt,77.0,UPI,,Monthly rent,76,996864.0,13116.631578947368,0.8026315789473685,2019.0,5.0,2.0,0,Small
T14294,U155,2022-02-09,Expense,Travel,1175.0,Bank Transfer,Mumbai,Gift,58,798909.0,13774.293103448275,0.7758620689655172,2022.0,2.0,2.0,0,Very Large
T12514,U093,2020-11-01,Expense,Utilities,85.0,Bank Transfer,Chennai,Uber to office ,81,867740.0,10712.839506172839,0.8271604938271605,2020.0,11.0,6.0,1,Small
T09379,U117,2021-04-29,Expense,Rent,232.0,Unknown,Bengaluru,Uber to office,93,1848899.0,19880.63440860215,0.8602150537634409,2021.0,4.0,3.0,0,Medium
T14731,U026,2021-02-11,Expense,Food,1588.0,Card,Chennai,Uber to office via app,74,644984.0,8716.0,0.8648648648648649,2021.0,2.0,3.0,0,Very Large
T13317,U027,,Expense,Ren,205.0,Bank Transfer,Kolkata,Dinner at resto,81,1022708.0,12626.024691358025,0.8024691358024691,,,,0,Medium
T06479,U152,2021-04-14,Expense,Travel,374.0,UPI,Pune,Netflix subscription,69,1485361.0,21526.971014492752,0.8695652173913043,2021.0,4.0,2.0,0,Medium
T05787,U014,2022-10-22,Expense,Food,263.0,UPI,Jaipur,Gift via app,91,488139.0,5364.1648351648355,0.9120879120879121,2022.0,10.0,5.0,1,Medium
T09733,U191,2021-01-30,Expense,Entertainment,757.0,Card,Pune,Gift late,99,1137459.0,11489.484848484848,0.8282828282828283,2021.0,1.0,5.0,1,Large
T02638,U040,2021-01-17,Expense,Rent,50.0,UPI,Mumbai,Grocery shopping ,80,890634.0,11132.925,0.825,2021.0,1.0,6.0,1,Small
